dataSize,testAcc,time
202,82.14,4.90
404,83.88,8.46
607,84.83,12.57
809,84.92,16.37
1012,86.47,20.09
1214,86.65,24.06
1416,85.9,27.76
1619,85.73,31.23
1821,86.11,35.04
2024,86.07,38.54
2226,86.93,42.47
2429,86.41,46.05
2631,86.69,50.18
2833,86.88,53.51
3036,86.9,56.89
3238,86.74,60.93
3441,86.71,64.37
3643,86.24,68.46
3845,86.76,72.47
4048,86.5,76.12
4250,86.49,79.62
4453,87.08,83.96
4655,87.49,88.20
4858,87.61,92.30
5060,87.4,95.86
5262,87.38,101.12
5465,87.17,104.07
5667,87.22,107.45
