dataSize,cvAcc,time
181542,97.4854,23.77
182220,97.4558,28.98
182897,97.5265,26.67
183575,97.522,26.73
184252,97.4557,27.59
184929,97.5158,27.99
185607,97.4931,28.10
186284,97.536,27.75
186962,97.5059,27.79
187639,97.5341,28.43
188316,97.501,27.72
188994,97.4899,27.40
189671,97.4856,25.68
190349,97.4936,28.15
191026,97.5338,28.36
191703,97.4935,27.93
192381,97.5335,28.15
193058,97.5111,29.17
193736,97.5229,29.10
194413,97.4806,28.76
195090,97.4806,29.76
195768,97.4659,29.71
196445,97.5489,29.20
197123,97.4681,29.42
197800,97.5495,29.36
198477,97.5317,29.52
199155,97.4964,29.38
199832,97.5795,29.22
200510,97.4829,29.94
201187,97.4824,30.78
201864,97.537,29.31
202542,97.5368,29.64
203219,97.5278,29.96
203897,97.5198,30.45
204574,97.5099,30.34
205251,97.4811,30.86
205929,97.5055,31.41
206606,97.5378,34.81
207284,97.5097,37.67
207961,97.488,29.80
208638,97.5345,32.39
209316,97.5301,31.03
209993,97.5056,30.87
210671,97.5398,32.24
211348,97.5614,30.63
212025,97.5116,31.50
212703,97.5783,32.04
213380,97.5049,31.13
214058,97.5357,30.60
214735,97.4997,31.50
215412,97.5452,30.56
216090,97.576,31.59
216767,97.4701,32.21
217445,97.5833,33.32
218122,97.5294,32.85
218799,97.5452,33.46
219477,97.5027,32.14
220154,97.5613,32.02
220832,97.5289,32.08
221509,97.6195,32.11
222186,97.5376,32.46
222864,97.5097,32.56
223541,97.5597,32.73
224219,97.547,33.39
224896,97.5251,32.98
225573,97.5875,32.85
226251,97.6062,33.13
226928,97.5649,33.21
227606,97.5374,31.84
228283,97.5846,33.32
228960,97.5271,34.02
229638,97.5335,34.15
230315,97.5256,34.98
230993,97.5701,33.64
231670,97.5867,33.99
232347,97.5046,34.03
233025,97.5694,33.96
233702,97.5854,33.67
234380,97.5574,34.61
235057,97.5431,32.07
235734,97.5303,32.97
236412,97.542,32.07
237089,97.5532,32.39
237767,97.5404,32.52
238444,97.5751,32.29
239121,97.5795,37.98
239799,97.5688,32.76
240476,97.6081,32.79
241154,97.5348,32.91
241831,97.5532,32.67
242508,97.53,32.78
243186,97.6133,33.19
243863,97.5552,33.38
244541,97.5579,33.67
245218,97.5715,39.12
245895,97.5782,33.33
246573,97.5618,33.64
247250,97.598,33.82
247928,97.5198,33.76
248605,97.5363,33.59
249282,97.5706,34.10
249960,97.5832,34.31
250637,97.63,34.34
251315,97.6062,33.77
251992,97.6198,34.26
252669,97.5866,37.07
253347,97.5772,34.69
254024,97.6026,34.79
254702,97.6039,34.58
255379,97.6298,34.96
256056,97.5607,35.01
256734,97.6006,35.04
257411,97.5483,34.30
258089,97.5946,35.09
258766,97.6087,35.18
259443,97.6438,35.28
260121,97.5857,41.80
260798,97.6307,35.26
261476,97.552,36.17
262153,97.5808,35.80
262830,97.5775,35.71
263508,97.5515,35.80
264185,97.6149,35.90
264863,97.567,36.18
265540,97.5928,36.01
266217,97.6162,39.95
266895,97.6257,36.00
267572,97.5707,36.23
268250,97.6529,36.59
268927,97.5934,36.73
269604,97.5831,36.66
270282,97.5966,37.01
270959,97.5959,37.00
271636,97.585,37.08
272314,97.6505,37.44
272991,97.627,36.84
273669,97.5967,36.98
274346,97.5782,37.38
275023,97.5911,37.70
275701,97.5996,36.90
276378,97.625,37.88
277056,97.5666,38.27
277733,97.6074,37.98
278410,97.5978,37.89
279088,97.5746,38.47
279765,97.623,38.34
280443,97.5888,38.24
281120,97.595,38.63
281797,97.5862,38.19
282475,97.557,38.17
283152,97.6013,43.27
283830,97.6215,40.93
284507,97.5997,40.49
285184,97.6275,40.92
285862,97.6177,40.88
286539,97.5944,41.96
287217,97.5983,42.54
287894,97.5981,40.50
288571,97.6318,40.60
289249,97.5948,49.39
289926,97.5494,40.68
290604,97.6036,42.50
291281,97.6071,42.12
291958,97.5342,38.54
292636,97.6305,39.87
293313,97.6234,40.52
293991,97.637,39.19
294668,97.5671,38.84
295345,97.617,42.85
296023,97.564,39.41
296700,97.6121,40.67
297378,97.6108,42.80
298055,97.6038,43.13
298732,97.6296,43.67
299410,97.6126,44.46
300087,97.5914,42.68
300765,97.6706,44.57
301442,97.5836,40.85
302119,97.59,40.98
302797,97.606,43.10
303474,97.5916,44.24
304152,97.6453,42.91
304829,97.6393,47.04
305506,97.656,41.94
306184,97.6348,46.36
306861,97.6067,42.12
307539,97.5795,39.67
308216,97.6332,42.52
308893,97.6422,41.86
309571,97.5521,41.66
310248,97.5926,47.11
310926,97.6358,46.96
311603,97.5758,42.39
312280,97.5852,44.98
312958,97.5885,46.62
313635,97.6291,45.93
314313,97.6282,44.25
314990,97.6282,44.83
315667,97.5807,45.80
316345,97.6466,44.47
317022,97.6286,46.42
317700,97.6106,46.61
318377,97.5673,45.24
319054,97.6402,44.75
319732,97.6674,47.53
320409,97.5812,43.58
321087,97.6452,46.45
321764,97.6243,46.84
322441,97.6135,45.64
323119,97.6133,46.83
323796,97.6025,45.19
324474,97.6356,43.23
325151,97.6719,45.34
325828,97.6193,43.01
326506,97.604,45.32
327183,97.6252,45.44
327861,97.6158,43.95
328538,97.6642,45.72
329215,97.642,47.06
329893,97.601,43.40
330570,97.6029,46.60
331248,97.6211,43.67
331925,97.6314,46.21
332602,97.558,58.57
333280,97.6509,46.57
333957,97.6377,46.54
334635,97.6341,46.58
335312,97.6318,46.70
335989,97.6297,46.53
336667,97.5843,44.48
337344,97.6214,49.83
338022,97.6226,46.48
338699,97.6705,52.04
339376,97.6439,49.44
340054,97.6207,49.51
340731,97.6518,48.45
341409,97.6453,54.99
342086,97.6105,48.36
342763,97.6558,51.36
343441,97.6351,46.51
344118,97.6183,49.64
344796,97.6076,51.71
345473,97.6516,49.34
346150,97.6504,51.55
346828,97.6585,50.06
347505,97.6585,49.72
348183,97.659,49.85
348860,97.6283,50.12
349537,97.6689,50.46
350215,97.6197,54.25
350892,97.6791,49.86
351570,97.6605,50.36
352247,97.6298,53.97
352924,97.6596,52.78
353602,97.6796,53.25
354279,97.6756,59.93
354957,97.6397,53.18
355634,97.6127,48.83
356311,97.6215,51.08
356989,97.6436,51.13
357666,97.6811,57.88
358344,97.664,51.92
359021,97.6506,50.68
359698,97.6397,48.97
360376,97.6153,51.53
361053,97.6627,51.78
361731,97.6447,59.29
362408,97.6684,56.64
363085,97.6273,50.05
363763,97.6542,51.20
364440,97.6882,51.22
365118,97.6536,55.22
365795,97.6722,53.06
366472,97.6841,54.39
367150,97.6538,55.41
367827,97.6755,54.65
368505,97.6426,52.90
369182,97.6505,51.65
369859,97.6551,59.99
370537,97.6477,51.31
371214,97.6434,51.69
371892,97.6512,53.70
372569,97.631,52.19
373246,97.6501,58.05
373924,97.6423,51.50
374601,97.6679,54.18
375279,97.658,53.32
375956,97.6354,52.63
376633,97.6688,54.49
377311,97.6526,51.22
377988,97.6624,51.57
378666,97.6618,56.48
379343,97.6225,54.98
380020,97.6454,54.42
380698,97.6577,53.36
381375,97.6511,54.00
382053,97.677,56.57
382730,97.654,53.91
383407,97.6448,53.75
384085,97.6698,53.86
384762,97.6728,57.81
385440,97.6435,53.76
386117,97.6663,54.10
386794,97.6703,59.55
387472,97.6731,52.31
388149,97.6597,54.85
388827,97.6481,52.18
389504,97.6424,55.45
390181,97.6578,55.68
390859,97.6782,52.99
391536,97.684,54.85
392214,97.6921,55.14
392891,97.6192,55.90
393568,97.6926,56.65
394246,97.6695,63.18
394923,97.6801,57.43
395601,97.6684,56.19
396278,97.6935,53.39
396955,97.6713,53.91
397633,97.6861,56.17
398310,97.6471,57.84
398988,97.6546,56.86
399665,97.6768,54.11
400342,97.6725,59.19
401020,97.6482,54.61
401697,97.6761,62.33
402375,97.676,56.69
403052,97.6554,55.27
403729,97.644,56.79
404407,97.6516,55.00
405084,97.6879,56.33
405762,97.641,54.63
406439,97.6626,54.52
407116,97.6835,63.57
407794,97.7028,56.63
408471,97.6911,57.13
409148,97.6698,58.08
409826,97.671,61.97
410503,97.6375,55.05
411181,97.6757,57.66
411858,97.6472,54.55
412535,97.6807,58.18
413213,97.6784,55.53
413890,97.6844,55.27
414568,97.681,55.46
415245,97.6968,57.16
415922,97.6551,58.55
416600,97.694,62.21
417277,97.6649,59.14
417955,97.6634,60.43
418632,97.6844,57.99
419309,97.6585,55.80
419987,97.7042,58.75
420664,97.7003,57.01
421342,97.6596,56.23
422019,97.6852,59.66
422696,97.7147,59.43
423374,97.6633,57.04
