dataSize,cvAcc,time
202,82.00,
404,84.500,53.18
607,84.793400,48.83
809,88.074500,51.13
1012,88.415800,57.88
1214,88.760300,48.97
1416,88.975300,51.78
1619,90.092900,50.05
1821,88.901100,55.22
2024,91.386100,54.65
2226,91.146100,51.31
2429,91.175300,
2631,91.71100,54.49
2833,91.448800,54.98
3036,91.565100,53.75
3238,90.788300,54.85
3441,91.540700,55.90
3643,90.769200,56.17
3845,91.729500,56.79
4048,91.891200,58.08
4250,91.247100,
4453,91.595500,58.75
